,Customer Name,Review Title,Date of Post,Product Name,Rating,Given Reviews,Image Link,Post is Helpful
154,Ashif Hussain, Scratch display ,Reviewed in India on 25 December 2020,Colour: BlackSize name: 64GBPattern name: iPhone 12,4.0 out of 5 stars,Everything is ok except a small hair scratch on front display glass.  ,NA,One person found this helpful
155,ARK, Emotion ,Reviewed in India on 23 February 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,iPhone is a emotion .. no need to explain more  ,https://images-na.ssl-images-amazon.com/images/I/71mWsjm5wCL._SY88.jpg,One person found this helpful
156,Thirumalairaja, Display issue ,Reviewed in India on 6 April 2021,Colour: (PRODUCT)REDSize name: 128GBPattern name: iPhone 12,3.0 out of 5 stars,My iPhone 12 display are very warm yellow even I turned off truetone and nightshift.  ,NA,NA
157,Manish Kumar Dhaka, It’s a great product for iOS lovers !! ,Reviewed in India on 24 December 2020,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,"I Loved I Phone X, because of size & design !!This one better in both aspects, it’s a very light phone !!  ",NA,NA
158,MAHESH, Amazing iPhone 12 ,Reviewed in India on 6 February 2021,Colour: WhiteSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,"This is a Gem. The product meets your expectations. Display, Battery life and Camera : Best in class.  ",NA,NA
159,Satpal Verma, Safe to buy on Amazon it’s 3rd time I bought iPhone here ,Reviewed in India on 7 February 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,You all know about the product and it’s features. Here I am writing about Amazon is trusted you can buy IPhone here without any hesitations.  ,NA,NA
160,Imran Sheriff, Awesome phone ,Reviewed in India on 17 November 2020,Colour: (PRODUCT)REDSize name: 256GBPattern name: iPhone 12,5.0 out of 5 stars,It's an amazing product  ,NA,One person found this helpful
161,Chiluka lachanna, I have recieved bad quality ,Reviewed in India on 26 March 2021,Colour: WhiteSize name: 128GBPattern name: iPhone 12,1.0 out of 5 stars,Battery pock up is not goog actually the phone is not picking the battery  ,NA,One person found this helpful
162,Dr N Mariappan, Simply Amazing ,Reviewed in India on 9 March 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,4.0 out of 5 stars,Nice model from iPhone all features are good except battery and its go up to maximum 8 hrs  ,NA,NA
163,drpbaskar , BETTER ,Reviewed in India on 9 April 2021,Colour: BlackSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,AWESOME  ,NA,NA
164,V RAMAKRISHNA, Super ,Reviewed in India on 15 April 2021,Colour: (PRODUCT)REDSize name: 128GBPattern name: iPhone 12,4.0 out of 5 stars,Good  ,NA,NA
165,Shrinivasreddy, Smooth-like silk. ,Reviewed in India on 24 April 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,"It’s totally a worthy one to buy , cameras theee best , night mode is exquisite, surprisingly the battery back up is good and overall it’s a good deal to buy .  ",NA,NA
166,rahul prasad, Great phone with great issues ,Reviewed in India on 16 February 2021,Colour: BlackSize name: 64GBPattern name: iPhone 12,2.0 out of 5 stars,This phone is good. But it suddenly showing some issues like camera and gallery crash. If you change wallpaper too frequently and taje too much pic.  ,NA,NA
167,Sonam arora, Best Best Best ,Reviewed in India on 21 January 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Your browser does not support HTML5 video.      Thankyou Amazon❤️❤️❤️❤️❤️Such a beautiful phone it is.I'm in love with this blue colourLove you🥺  ,https://images-na.ssl-images-amazon.com/images/I/61rHCboMEpL._SY88.jpg,NA
168,Mansi, A little bit expensive 😉 ,Reviewed in India on 15 January 2021,Colour: WhiteSize name: 128GBPattern name: iPhone 12,4.0 out of 5 stars,Better build quality as compared to iphone 11 but the camera is good in iphone 11 as compared to this one.  ,NA,NA
169,Reetimukta Rath, Battery life is very very bad. ,Reviewed in India on 18 January 2021,Colour: (PRODUCT)REDSize name: 128GBPattern name: iPhone 12,2.0 out of 5 stars,"Overall iPhone is very nice but battery life is very very bad and phone getting heat,also camera is problem when in night mode.  ",NA,NA
170,Swadha, I need to Change n upgrade ,Reviewed in India on 13 April 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,1.0 out of 5 stars,Not like want to change this to apple 12 proPls advice how to do  ,NA,One person found this helpful
171,Khaled, Apple is always the best ! ,Reviewed in India on 2 February 2021,Colour: BlackSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Best in class but a bit over priced.  ,NA,NA
172,Mukul b., Best iPhone ever ,Reviewed in India on 18 March 2021,Colour: BlackSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,I’m using iPhones since long time & this one is the best ever iPhone. Battery is decent but otherwise it’s top notch.  ,NA,NA
173,Regins s., It amazing amazing phone ,Reviewed in India on 28 January 2021,Colour: BlackSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Little hot phone. GamingWorld best phone in my handDon’t worry  ,https://images-na.ssl-images-amazon.com/images/I/B1RelxqkptS._SY88.jpg,One person found this helpful
174,Vaibhav Pratap Singh, Best iPhone ever... ,Reviewed in India on 22 December 2020,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Iphone 12 is by far the best iPhone no wonder why its getting all the praises from everyone. Thanks amazon for smooth delivery.  ,NA,NA
175,ASISH MANNA, Good ,Reviewed in India on 29 December 2020,Colour: WhiteSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Price is bit high  ,NA,One person found this helpful
176,Roshan , Good product ,Reviewed in India on 18 March 2021,Colour: WhiteSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Nice product  ,NA,NA
177,Subashis Biswas, Super performance  iPhone 12 ,Reviewed in India on 26 December 2020,Colour: GreenSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,"Super Duper iPhone 12 I Love it,It’s World Bigest Brand Smart Phone  ",NA,NA
178,CliffordGlasso, No charger is disappointing ,Reviewed in India on 23 April 2021,Colour: BlueSize name: 256GBPattern name: iPhone 12,4.0 out of 5 stars,It's iphoneOnly disappointment is they don't give a charger along  ,NA,NA
179,Anudeep Chowdary, Apple the Future technology ,Reviewed in India on 4 March 2021,Colour: WhiteSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Your browser does not support HTML5 video.      This is first time I’m switching from android to iOSIt is just amazingBatter life is awesome  ,https://images-na.ssl-images-amazon.com/images/I/C1dVS6zheIS._SY88.jpg,NA
180,Alok Tripathy, 👍👍 ,Reviewed in India on 27 December 2020,Colour: (PRODUCT)REDSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,👍👍  ,NA,NA
181,Sonu, Iphone is best mobile ,Reviewed in India on 20 January 2021,Colour: WhiteSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Only good  ,NA,NA
182,DEEPAK LENKA, Best of best ,Reviewed in India on 5 March 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,It’s an awesome phone. Best in technology. After two months of used didn’t find any negative.  ,NA,NA
183,RAJA, Ok ,Reviewed in India on 12 December 2020,Colour: BlackSize name: 128GBPattern name: iPhone 12,4.0 out of 5 stars,Good  ,NA,NA
184,Nik, Best!! ,Reviewed in India on 26 November 2020,Colour: BlackSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,The best device Apple has manufactured.Amazon delivery was fast and robust.  ,NA,NA
185,yash Sharma, Hope it would have got 3 cameras in 80K price tag ,Reviewed in India on 4 May 2021,Colour: BlackSize name: 128GBPattern name: iPhone 12,4.0 out of 5 stars,This is an excellent device coming from my iphone 8 this is huge upgrade in terms of everything. Blindly go for it.  ,NA,NA
186,Anbu, Compact kid for Phonies ,Reviewed in India on 28 February 2021,Colour: GreenSize name: 128GBPattern name: iPhone 12,4.0 out of 5 stars,A phone with good performance  ,NA,NA
187,Sharath , Best camera in all phones ,Reviewed in India on 2 February 2021,Colour: (PRODUCT)REDSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Low light photography is killer in this phone  ,https://images-na.ssl-images-amazon.com/images/I/71dfnXLU7-L._SY88.jpg,One person found this helpful
188,Shashikant, Awsome ,Reviewed in India on 18 November 2020,Colour: (PRODUCT)REDSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Loved the new Iphone.  ,NA,One person found this helpful
189,Imtiyaz k., Go for it guys! ,Reviewed in India on 14 November 2020,Colour: WhiteSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,"Lot of new features added in this new iPhone, night mode is improved, and a satisfactory battery back upWorth every penny!  ",https://images-na.ssl-images-amazon.com/images/I/61JkDJb9LZL._SY88.jpg,NA
190,Sameer, 🍎 always good ,Reviewed in India on 24 April 2021,Colour: (PRODUCT)REDSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Good one  ,NA,NA
191,Hiren, Performance was awesome ,Reviewed in India on 1 April 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Good product  ,NA,NA
192,Mohit, Extremely satisfied ,Reviewed in India on 9 March 2021,Colour: WhiteSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,"Best phone one can ever get.If you r old iphone user, this is one for you  ",NA,NA
193,Amazon Customer, Value for money ,Reviewed in India on 9 February 2021,Colour: WhiteSize name: 64GBPattern name: iPhone 12,4.0 out of 5 stars,"Battery life ok but getting warmth very high ,as I am using normal also.  ",NA,NA
194,dalbir, awsm fone ,Reviewed in India on 22 March 2021,Colour: WhiteSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,nice i loved it  ,NA,NA
195,Gaurav Trivedi, All things are very good ,Reviewed in India on 28 January 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,I feel veryyyyyyy gooooodddd because it's screen is very good and touch response is awesome I am promoting it buts very goooodddd  ,NA,NA
196,sarika, Battery is draining even on standby ,Reviewed in India on 5 April 2021,Colour: WhiteSize name: 64GBPattern name: iPhone 12,1.0 out of 5 stars,Battery is discharging even on standby  ,NA,One person found this helpful
197,Abir kumar, Light weight ,Reviewed in India on 14 April 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,The  two important feature I like abt it are  light weight and very comfortable to hold.Battery lasts easily for a day.  ,NA,NA
198,Kong ratan, Nice perfect things ,Reviewed in India on 7 December 2020,Colour: (PRODUCT)REDSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Everything good  ,NA,One person found this helpful
199,Poonam Chauhan, All is good ,Reviewed in India on 26 April 2021,Colour: (PRODUCT)REDSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Nothing can be better than this. I am on top of the world now with this iPhone XII  ,NA,NA
200,Amazon Customer, Blue looks and feels great ,Reviewed in India on 20 December 2020,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Blew my mind after the switch from 6s to 12..Stunning look and feel  ,NA,NA
201,Sashanka, Best smartphone of this era ,Reviewed in India on 12 December 2020,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Best smartphone of this era  ,https://images-na.ssl-images-amazon.com/images/I/A1bFBr1ZPDL._SY88.jpg,One person found this helpful
202,K Y Swamy, Not worthy ,Reviewed in India on 18 February 2021,Colour: (PRODUCT)REDSize name: 128GBPattern name: iPhone 12,3.0 out of 5 stars,"Highly priced, no new feeling from 10 to 12, no power adapter, no hear phone, not satisfied with colours  ",NA,NA
203,Jaypal singh, 🤘🤘🤘 ,Reviewed in India on 23 January 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Awesome product super 🤗🤗🤗👌👌👌  ,https://images-na.ssl-images-amazon.com/images/I/A11GFEdPg5L._SY88.jpg,One person found this helpful
204,Sheershak Gupchup, IPhone the name itself is enough.... ,Reviewed in India on 27 March 2021,Colour: BlackSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Mt first iphone experience...it is more than i thought...  ,NA,NA
205,Organic Harvest, Loving it! ,Reviewed in India on 15 March 2021,Colour: GreenSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Simply Loving it!! Amazing phone. Battery could have been better but overall a great phone. Would definitely recommend  ,https://images-na.ssl-images-amazon.com/images/I/71SI2B+VZbL._SY88.jpg,NA
206,Divakar Vikramjeet Singh, Buy if your older iPhone is not iPhone11 ,Reviewed in India on 12 April 2021,Colour: (PRODUCT)REDSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,a Good  phone but if you have iPhone 11 then there is no need to upgrade to iphone 12.  ,NA,NA
207,Girish, Charger ,Reviewed in India on 13 April 2021,Colour: (PRODUCT)REDSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Apple should have given charger along with it for the people first time buying  ,NA,NA
208,Chaitanya, Doesn't worth your money ,Reviewed in India on 29 January 2021,Colour: BlackSize name: 64GBPattern name: iPhone 12,2.0 out of 5 stars,64 gb == 49 gb storageNo chargerNo air podsMore fakeLow quality camera  ,NA,NA
209,Rohan Sharma, Amazing! ,Reviewed in India on 25 April 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Amazing Apple phone after long  ,NA,NA
210,Sachin kumar pandey, Beast ,Reviewed in India on 17 April 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,It is really a great phone if you can afford it. However battery really sucks  ,NA,NA
211,govind solanki, Very good if only want iOS ,Reviewed in India on 31 March 2021,Colour: WhiteSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,If you only want an iOS you go for it or else you can buy Asus rog 5  ,NA,NA
212,Amazon Customer, Nice ,Reviewed in India on 26 February 2021,Colour: BlackSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Nice one  ,NA,One person found this helpful
213,Arunava kumar Mukhopadhyay , New iPhone ,Reviewed in India on 2 December 2020,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Loving  ,NA,One person found this helpful
214,naren, Good ,Reviewed in India on 3 February 2021,Colour: (PRODUCT)REDSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Good  ,NA,NA
215,Avinash, Value for money ,Reviewed in India on 25 December 2020,Colour: GreenSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Simply awesome  ,NA,One person found this helpful
216,K Ramakrishnudu, Touch Screen ,Reviewed in India on 26 March 2021,Colour: WhiteSize name: 64GBPattern name: iPhone 12,3.0 out of 5 stars,Touch screen is not that much good by compare with previous versions..  ,NA,NA
217,Jai Sharma, My 1st iPhone ,Reviewed in India on 25 March 2021,Colour: BlueSize name: 256GBPattern name: iPhone 12,5.0 out of 5 stars,Your browser does not support HTML5 video.      My first iPhone.....that is 12...love it  ,NA,NA
218,shabana, battery ,Reviewed in India on 18 March 2021,Colour: (PRODUCT)REDSize name: 128GBPattern name: iPhone 12,4.0 out of 5 stars,battery life is not gud  ,NA,NA
219,Manish kumar sinha, Wow ,Reviewed in India on 19 February 2021,Colour: WhiteSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Wow  ,NA,NA
220,manish, Value for money ,Reviewed in India on 17 April 2021,Colour: BlackSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Back to IOS and great decision to buy iPhone again  ,NA,NA
221,Vaishnavi , iPhone is always special 🤩 ,Reviewed in India on 7 January 2021,Colour: WhiteSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Just awesome !!  ,https://images-na.ssl-images-amazon.com/images/I/B1RT2ICMi1S._SY88.jpg,One person found this helpful
222,SUJEETH REDDY, The best in the market ,Reviewed in India on 5 January 2021,Colour: (PRODUCT)REDSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Super Camera with a good battery and great OS  ,NA,NA
223,RB, Great apple product ,Reviewed in India on 12 April 2021,Colour: (PRODUCT)REDSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Great Apple product  ,NA,NA
224,Dhanashree, Good phone ,Reviewed in India on 26 March 2021,Colour: BlackSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Improved Camera and battery life compared to previous versions.  ,https://images-na.ssl-images-amazon.com/images/I/B1gKXWyU50S._SY88.jpg,NA
225,Tarun Mathur, iPhone 12 rocks ,Reviewed in India on 16 February 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Iphone 12 is just awesome  ,NA,NA
226,Sham, Best version of the iPhone ,Reviewed in India on 2 May 2021,Colour: GreenSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,"Finally got dream phone, this is my first iPhoneLoved it  ",NA,NA
227,shaktikanta mohanty, Excellent ,Reviewed in India on 11 April 2021,Colour: GreenSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Definitely its overpriced but feature loaded..  ,NA,NA
228,Sharat, Nice phonr ,Reviewed in India on 22 March 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Great performance  ,NA,NA
229,Deep, Wow ,Reviewed in India on 21 April 2021,Colour: WhiteSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Awesomely smooth  ,NA,NA
230,tulsi, Amazing performance ,Reviewed in India on 5 March 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Good looking  ,NA,NA
231,Talwinder Batth, ⭐️⭐️⭐️⭐️⭐️ ,Reviewed in India on 28 December 2020,Colour: WhiteSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Very good  ,https://images-na.ssl-images-amazon.com/images/I/91WC2PjaP6L._SY88.jpg,NA
232,Arman Singh, Over priced ,Reviewed in India on 11 March 2021,Colour: (PRODUCT)REDSize name: 64GBPattern name: iPhone 12,4.0 out of 5 stars,Phone is good but over priced  ,NA,NA
233,Anil, Little bit disappointed ,Reviewed in India on 29 April 2021,Colour: WhiteSize name: 128GBPattern name: iPhone 12,1.0 out of 5 stars,Heat up during charging nd video call  ,NA,NA
234,Mohirajsinh, Design is very impressive ,Reviewed in India on 2 January 2021,Colour: WhiteSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Excellent phone  ,NA,NA
235,Manish Ranjan, Nice Product ,Reviewed in India on 25 April 2021,Colour: (PRODUCT)REDSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Battery Life is good and Screen Quality is very good  ,https://images-na.ssl-images-amazon.com/images/I/B1FIKCd5MNS._SY88.jpg,NA
236,Ayush Garg, Nice Phone ,Reviewed in India on 15 January 2021,Colour: BlackSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Nice phone but too costly.  ,NA,NA
237,Md.Rafi Ahamed Basha, Best Mobile of 2020 ,Reviewed in India on 8 January 2021,Colour: (PRODUCT)REDSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Best Mobile of 2020  ,NA,NA
238,natvar singh, Top notch ,Reviewed in India on 27 February 2021,Colour: BlackSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Best ever phone from apple but costly as always  ,NA,NA
