,Customer Name,Review Title,Date of Post,Product Name,Rating,Given Reviews,Image Link,Post is Helpful
239,Divya," Get the adaptor separately, not provided in the box ",Reviewed in India on 17 February 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,"IPhone 12 is super handy, blue is cool color. Loved it.  ",NA,NA
240,rajnish, Overheating ,Reviewed in India on 29 April 2021,Colour: GreenSize name: 128GBPattern name: iPhone 12,2.0 out of 5 stars,Overheating can't even hold the mobile at times.  ,NA,NA
241,NITISH KUMAR SINGH, Superb ,Reviewed in India on 11 March 2021,Colour: (PRODUCT)REDSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Value for money  ,NA,NA
242,Mohan S., First iPhone ,Reviewed in India on 2 May 2021,Colour: GreenSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Love it. Had an amazing experience. Thank you!!  ,NA,NA
243,ASHISH S., Superb ,Reviewed in India on 30 April 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Phone is superb  ,NA,NA
244,vineeth, Worth ,Reviewed in India on 21 March 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,4.0 out of 5 stars,I just love the phone  ,NA,NA
245,Himanshu Vaid, Awesome ,Reviewed in India on 22 April 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Liked the phone it’s awesome  ,NA,NA
246,Amazon Customer, In love with my first iphone ❤️ ,Reviewed in India on 26 April 2021,Colour: BlackSize name: 128GBPattern name: iPhone 12,4.0 out of 5 stars,Iphoneeeeeee finally 😎 #2021 Goals  ,NA,NA
247,M.Lalithakumari, Overall performance of iphone 12 is good ,Reviewed in India on 18 April 2021,Colour: GreenSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Good  ,NA,NA
248,Devaprasad, Best! ,Reviewed in India on 29 March 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Awesome product and genuine seller  ,NA,NA
249,Binin, Good ,Reviewed in India on 17 April 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,4.0 out of 5 stars,screen on time is 7 hours  ,NA,NA
250,Amazon Customer, My first iPhone and am satisfied ,Reviewed in India on 3 March 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Awesome camera quality night mode pics are grt.  ,https://images-na.ssl-images-amazon.com/images/I/B1Bi-+7KoWS._SY88.jpg,NA
251,Gowher yousuf, Technical issues ,Reviewed in India on 3 May 2021,Colour: WhiteSize name: 64GBPattern name: iPhone 12,3.0 out of 5 stars,No good and having many technical issues  ,NA,NA
252,Shoaib Ahmed, Best Iphone Till Now Loving It 🥰😍😍 ,Reviewed in India on 7 March 2021,Colour: WhiteSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Best Iphone ever Battery Life Is ok No problem  ,https://images-na.ssl-images-amazon.com/images/I/A1kFm9NgIjL._SY88.jpg,NA
253,Rakesh, Average phone ,Reviewed in India on 1 February 2021,Colour: (PRODUCT)REDSize name: 64GBPattern name: iPhone 12,3.0 out of 5 stars,Not as expected abt this brand.  ,NA,NA
254,Saurabh, iPhone 12 screen quality 😍 ,Reviewed in India on 29 April 2021,Colour: GreenSize name: 128GBPattern name: iPhone 12,4.0 out of 5 stars,Overall it is very nice  ,NA,NA
255,hitesh v rathod, mobile ka badshah ,Reviewed in India on 27 January 2021,Colour: WhiteSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,very fastest camera best photos  ,https://images-na.ssl-images-amazon.com/images/I/A1rWfFgM1OL._SY88.jpg,NA
256,P veeru, Mind blowing ,Reviewed in India on 8 February 2021,Colour: (PRODUCT)REDSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,King of mobiles  ,NA,NA
257,Ajay, Awesome device ,Reviewed in India on 29 March 2021,Colour: BlackSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,"Wonderful device, Loved Apple  ",NA,NA
258,Deepak, Good one ,Reviewed in India on 7 January 2021,Colour: BlackSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Just go for it. Another great iPhone.  ,NA,NA
259,Anand Sindhe, Best iPhone till date ,Reviewed in India on 28 April 2021,Colour: (PRODUCT)REDSize name: 128GBPattern name: iPhone 12,4.0 out of 5 stars,Best iPhone till date  ,NA,NA
260,Abhishek Panda, An eye catching color red is . ,Reviewed in India on 20 March 2021,Colour: (PRODUCT)REDSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,It’s a good one. Very smooth to use.  ,NA,NA
261,Abdul, Camera ,Reviewed in India on 17 January 2021,Colour: WhiteSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Camera is good  ,NA,NA
262,YOGENDRA SINGH, Exclusive gadget ,Reviewed in India on 11 April 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Exceptional  ,NA,NA
263,Srinidhi A, Perfectly awesome ,Reviewed in India on 30 April 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,An amazing product  ,NA,NA
264,ATHAR ALAM, nice looking phone ,Reviewed in India on 31 January 2021,Colour: WhiteSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,nice phone  ,NA,NA
265,Anuj, Review after use ,Reviewed in India on 3 April 2021,Colour: WhiteSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Nice phone  ,NA,NA
266,Prem, Great phone ,Reviewed in India on 30 April 2021,Colour: GreenSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,😊👍👌🙏  ,NA,NA
267,Chandresh dubey, Five star ,Reviewed in India on 6 February 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Wao I phone is iPhone  ,NA,NA
268,Shiva, iPhone wins of battery would have been better ,Reviewed in India on 29 March 2021,Colour: BlackSize name: 128GBPattern name: iPhone 12,4.0 out of 5 stars,Exceptional except the battery  ,NA,NA
269,Brajesh Kumar Singh, Very Good! ,Reviewed in India on 4 April 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Camera and performance  ,NA,NA
270,owais, Awesome ,Reviewed in India on 8 January 2021,Colour: GreenSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Awesome  ,NA,NA
271,Amazon Customer, Good phone ,Reviewed in India on 29 April 2021,Colour: (PRODUCT)REDSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Good  ,NA,NA
272,Masood, Worth the money ,Reviewed in India on 27 January 2021,Colour: (PRODUCT)REDSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Great upgrade from 11 to 12  ,NA,NA
273,Rajendra Chawhan, Good ,Reviewed in India on 22 March 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Goog  ,NA,NA
274,Ramadevi, Very happy to receive this New iphone ,Reviewed in India on 16 January 2021,Colour: GreenSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,It's very expensive.i like white 🤍  ,NA,NA
275,Venkat Srighakollapu, Customer satisfaction ,Reviewed in India on 7 March 2021,Colour: WhiteSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Superb product... Thx to apple  ,NA,NA
276,R.S.Shivashish, Always verify your serial number with apple website to enjoy the real best ,Reviewed in India on 13 November 2020,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Great product  ,NA,NA
277,Amit Kumar, Costly but worthy ,Reviewed in India on 20 April 2021,Colour: BlackSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Awesome  ,NA,NA
278,jagdeep singh makkar, Battery ,Reviewed in India on 14 March 2021,Colour: WhiteSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,I don’t like to much  ,NA,NA
279,RAVI ANANDDL, The Camera Perfomance ,Reviewed in India on 5 January 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Best in every department.  ,NA,NA
280,sanam s., Just amazing ,Reviewed in India on 7 November 2020,Colour: WhiteSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Excellent product  ,NA,NA
281,Sarita sharma, Amazing product ,Reviewed in India on 22 January 2021,Colour: GreenSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Waaah  ,NA,NA
282,tusarkanta, Highly recommended ,Reviewed in India on 2 April 2021,Colour: GreenSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Awesome. As expected  ,NA,NA
283,Pavan Sai , Good ,Reviewed in India on 27 March 2021,Colour: BlackSize name: 64GBPattern name: iPhone 12,4.0 out of 5 stars,Nice  ,NA,NA
284,MD HAIDER ALI, Very good ,Reviewed in India on 27 April 2021,Colour: WhiteSize name: 128GBPattern name: iPhone 12,3.0 out of 5 stars,Good  ,NA,NA
285,Dilip Kumar paswan, Nice ,Reviewed in India on 23 January 2021,Colour: WhiteSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Nice  ,NA,NA
286,calvin nadar, Nice camera ,Reviewed in India on 24 March 2021,Colour: BlackSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Sueprb performance  ,NA,NA
287,Gaurav, Performance ,Reviewed in India on 17 January 2021,Colour: BlackSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Very good phone indeed.  ,NA,NA
288,Raj paul, My First i phone best experience ,Reviewed in India on 24 April 2021,Colour: BlackSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Blind buy  ,https://images-na.ssl-images-amazon.com/images/I/A15II1YFx0L._SY88.jpg,NA
289,Neeraj Chauhan, Iphone12 ,Reviewed in India on 8 March 2021,Colour: WhiteSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Best phone ever  ,NA,NA
290,Amazon Customer, Camera ,Reviewed in India on 22 March 2021,Colour: BlackSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Yes it’s awesome  ,NA,NA
291,Assassin_99, 🙌🏻 ,Reviewed in India on 21 April 2021,Colour: WhiteSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,👌🏻👌🏻👌🏻👀🔥  ,NA,NA
292,N, Op ,Reviewed in India on 30 January 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,4.0 out of 5 stars,Very op  ,NA,NA
293,nijanth reddy, Good ,Reviewed in India on 5 April 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,4.0 out of 5 stars,Not bad  ,NA,NA
294,Vijay Singh, Overall good product ,Reviewed in India on 12 April 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Battery 🔋life  ,NA,NA
295,Sopan Wandhekar, A14 Bionic ,Reviewed in India on 18 April 2021,Colour: WhiteSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Speed. Period.  ,NA,NA
296,Amazon Customer, Best iPhone ,Reviewed in India on 13 March 2021,Colour: WhiteSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Good choice  ,NA,NA
297,Vishal, IPhone 12 ,Reviewed in India on 14 February 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Great phone  ,NA,NA
298,Mohit thawani, Best PHone ever ❣️ ,Reviewed in India on 22 January 2021,Colour: WhiteSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Happy Happy ☺️  ,https://images-na.ssl-images-amazon.com/images/I/B1Ec0ZIUb-S._SY88.jpg,NA
299,Amazon Customer, Everything is fine ,Reviewed in India on 11 March 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Everything is fine  ,NA,NA
300,Jyothiswaroop, Apple 🍎 ,Reviewed in India on 30 December 2020,Colour: WhiteSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Official look 👀  ,https://images-na.ssl-images-amazon.com/images/I/71W8ZGJnXBL._SY88.jpg,NA
301,shekhar, Apple iPhone 12 ,Reviewed in India on 10 March 2021,Colour: (PRODUCT)REDSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Good phone  ,NA,NA
302,Siraj Ali, 5 ,Reviewed in India on 24 March 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,4.0 out of 5 stars,Nice  ,NA,NA
303,Anil Tiwari, Good ,Reviewed in India on 19 April 2021,Colour: WhiteSize name: 256GBPattern name: iPhone 12,5.0 out of 5 stars,Good  ,NA,NA
304,debasis patnayak, Very good ,Reviewed in India on 17 December 2020,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,IPhone 12 awesome  ,NA,NA
305,Amazon Customer, Awesome white ,Reviewed in India on 31 December 2020,Colour: WhiteSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Awesome  ,NA,NA
306,Vignesh, Apple iPhone 12 ,Reviewed in India on 18 April 2021,Colour: BlackSize name: 128GBPattern name: iPhone 12,4.0 out of 5 stars,Good to use  ,https://images-na.ssl-images-amazon.com/images/I/B12cFTg+ZkS._SY88.jpg,NA
307,mohit gupta, 😊😊😊 ,Reviewed in India on 28 December 2020,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,So amazing 😍😘  ,NA,NA
308,Rahul Solao, I Phone 12 ,Reviewed in India on 16 April 2021,Colour: WhiteSize name: 128GBPattern name: iPhone 12,4.0 out of 5 stars,Best mobil  ,NA,NA
309,AKHILESH PAL," EVERYTHING Is fine EXCEPT CHEATING OF BATTERY LIFE,CHARGER,EARPHONES. APPLE MUST SHOULD INCLUDE ",Reviewed in India on 15 February 2021,Colour: WhiteSize name: 64GBPattern name: iPhone 12,4.0 out of 5 stars,GOOD PHONE  ,NA,NA
310,Karan Vitthal Waghbije, Nice ,Reviewed in India on 23 April 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Very good  ,https://images-na.ssl-images-amazon.com/images/I/812EQUDfbbL._SY88.jpg,NA
311,Afzal, Superb mobile ,Reviewed in India on 16 March 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Amazing mobile  ,NA,NA
312,Gardhara singh, Iphone 12 ,Reviewed in India on 21 January 2021,Colour: WhiteSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,It's working fine  ,NA,NA
313,Habibullah k., Very nice ,Reviewed in India on 10 December 2020,Colour: WhiteSize name: 128GBPattern name: iPhone 12,4.0 out of 5 stars,Nice  ,NA,NA
314,Basavaraj, Worth to buy ,Reviewed in India on 16 March 2021,Colour: GreenSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Gd product  ,NA,NA
315,Ujjwal, Op phone ,Reviewed in India on 5 April 2021,Colour: BlackSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Like  ,NA,NA
316,sandeep, Cam and battery performance excellent ,Reviewed in India on 17 December 2020,Colour: GreenSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Excellent  ,NA,NA
317,#jpkworld, A worthy upgrade ,Reviewed in India on 5 February 2021,Colour: (PRODUCT)REDSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,❤️  ,NA,NA
318,Atulya Nagarsenkar, Worth buying from Amazon ,Reviewed in India on 7 November 2020,Colour: (PRODUCT)REDSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Excellent!!!!  ,NA,NA
319,Nikhil Kumar singh, Awesome Phone ,Reviewed in India on 12 March 2021,Colour: WhiteSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Awesome  ,NA,NA
320,Amit, Awesome ,Reviewed in India on 13 March 2021,Colour: (PRODUCT)REDSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Good  ,NA,NA
321,Jaswinder Singh, thanku appario retail private ltd ,Reviewed in India on 23 December 2020,Colour: WhiteSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,best phone  ,NA,NA
322,Abhishek Gupta, iPhone lover ,Reviewed in India on 26 December 2020,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Liked it  ,https://images-na.ssl-images-amazon.com/images/I/716YMwFUIZL._SY88.jpg,NA
323,Berry," Finally received, great one 👍🏼 ",Reviewed in India on 27 December 2020,Colour: WhiteSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Great  ,NA,NA
324,PDas, Will not provide fastest (mmWave) 5G in India ,Reviewed in India on 11 December 2020,Colour: BlackSize name: 64GBPattern name: iPhone 12,1.0 out of 5 stars,"After costing a huge amount iPhone 12 will not support 5G mmWave in India, which is the fastest 5G. So, before purchasing be cautious about the fact..  ",NA,16 people found this helpful
325,Amazon Customer, China mobile ,Reviewed in India on 17 December 2020,Colour: (PRODUCT)REDSize name: 64GBPattern name: iPhone 12,1.0 out of 5 stars,Country of origin chinaChina manufacturing that much cost waste money on that product wasteKeep love ur parents not gadgets  ,NA,13 people found this helpful
326,Socrates, Phones have gone crazy with Price. ,Reviewed in India on 24 March 2021,Colour: WhiteSize name: 64GBPattern name: iPhone 12,1.0 out of 5 stars,"Apple and Samsung both are in a price war off late, also buying a phone worth 80k in India leaves a bad taste in my mouth.  I'm not judging anyone who buys this, but we are still a developing nation, with children dying of hunger, spend money wisely, Don't give in to the Instagram fueled dystopia.  ",NA,3 people found this helpful
327,Irfan Ahmed, Cost cutting ,Reviewed in India on 30 November 2020,Colour: BlueSize name: 64GBPattern name: iPhone 12,4.0 out of 5 stars,"No Charging adapter, No earphones and charging cable is not enough lenghty.Hmm looks like the day is not far when Apple will sell the iphones without a box. lol  ",NA,5 people found this helpful
328,sagnik, Buy apple if you need a overpriced camera ,Reviewed in India on 23 February 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,1.0 out of 5 stars,"Not worth the money, I think apple deliberately selling inferior products to India. All 5 star ratings are from apple fanboys who are interested in Instagram pictures (since camera is only good ). I request people to buy only Samsung as they are truly ""smartphone"". plus their strong make in india commitment. Never heard of any violence in samsung factories.  ",NA,3 people found this helpful
329,Bhanu Prabhakar, Try to understand what is best in Iphone ,Reviewed in India on 3 April 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,3.0 out of 5 stars,"Too much heating problem when I listen songs in the mobile and camera also not that much great. Recently I have migrated from android to iPhone observing lot of restrictions and accessories also costly have to spend good amount of money to buy all accessories, but I’m wondering why iPhone has that much craze what best in iPhone because Im not seeing much difference between one plus vs iPhone as both are providing same quality. I’m just trying to understand from last 3 months what is the special in iPhone compare to others except cost and to show society that I’m using iPhone. Folks please help me by providing your review if anyone have any pros of iPhone , it would be a  great help for me. I shall also try to do more analysis and post here if I see any best  ",NA,One person found this helpful
330,shrikanth Bannigolkar, Beautiful Mobile🍏 ,Reviewed in India on 28 January 2021,Colour: WhiteSize name: 128GBPattern name: iPhone 12,4.0 out of 5 stars,This is my 2nd Apple IPhone. Before I had IPhone SE(1st model)+Looks Awesome+Amazing Battery Backup+Great Touch and Display+Sound Quality is Awesome+Superb Build Quality-Mobile gets heat-Camera could have been better-Must have included Charging Adopter in Box  ,NA,NA
331,prakash M., Stupidity of buying iPhone ,Reviewed in India on 2 May 2021,Colour: BlackSize name: 64GBPattern name: iPhone 12,1.0 out of 5 stars,I encourage people not to buy this. Because they are bullying you by their big name. The cost of the phone is no doubt high but without a charger is simply stupidity. I don't why people buy this when there are lots of options available with best features in other company. I am not ruthless atball towards iPhone brand but atleast the device should come with a charger with free of cost. Now a days iPhone is driving people who are actually stupid.  ,NA,One person found this helpful
332,syed, Battery issue ,Reviewed in India on 11 December 2020,Colour: BlackSize name: 128GBPattern name: iPhone 12,1.0 out of 5 stars,Waste of money display quality also poor and battery is very worst than iphone 11 pls dont buy it and waste your money  ,NA,4 people found this helpful
333,Vamsi, Best of its kind ,Reviewed in India on 26 November 2020,Colour: WhiteSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,I am using it since two weeks and everything is so good so farI use screen around 6 to 8 hours and still battery lasts for another half day.Tips to over come the heat issue while charging1) close all the apps2)don’t charge after use. Let’s the mobile cool down and then plug in3) follow battery cycle. I only charge when the battery is 5% and plug out after it is full4)use 20 Watts adapter for better battery performance  ,https://images-na.ssl-images-amazon.com/images/I/61D7k9y2mRL._SY88.jpg,NA
334,Bhupendra Patil, Great phone with great look and performance . Go get it !! ,Reviewed in India on 30 December 2020,Colour: WhiteSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,I bought it on 21st Nov 2020.Pros -New box type design differentiates it with earlier recent  models.Best OLED display. 60Htz refresh rate doesn’t really matter.Light weight. Nice grip and easy to operate by one hand.Less thickness than iPhone 11.5G enabled.Having all necessary  features of pro model so value for money .Perfect 6.1 inch screen sizeVery good battery lifeFastest Bionic A14 chip processor.HDR photosDolby HDR videosBrighter display than iPhone 11.Cons -No charger in boxStill comes with lightening port and not C type port  ,NA,NA
335,Shreyas Gokhale, iPhones just got worth upgrading.... ,Reviewed in India on 26 November 2020,Colour: WhiteSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,"iPhone 12 is the golden mean in all the iPhone 12 seriesBattery lasts for about a day.In Performance section, as usual, Apple is the best.It’s OLED display is mind blowing.Even though it is 5G compatible, 4G also works better.Don’t buy 64 GB as it will choke you much earlier as people tend to use iPhones for long times.  ",https://images-na.ssl-images-amazon.com/images/I/61AF00YiSBL._SY88.jpg,NA
336,The Chosen One, Too Delicate ,Reviewed in India on 28 April 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,1.0 out of 5 stars,"I bought this phone a week ago, it was working working fine till yesterday, then i accidentally drppoed it and it completely shattered. It couldn't even survive a fall from the 4th floor. Stupid phone  ",NA,3 people found this helpful
337,S, Iphone 12 ,Reviewed in India on 20 November 2020,Colour: WhiteSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Iphone 12 is amazing. It’s so fast. It has 5G network  which is so fast. Design is soo good. Excellent pixels. Camera is good. Must go for it  ,NA,2 people found this helpful
338,Suresh B Samson, Dont waste your money ,Reviewed in India on 20 March 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,1.0 out of 5 stars,"Waste, it is worth 10,000/ only...Dont go blindly for apple logo...Apple will shut down soon in india..Worst  ",NA,2 people found this helpful
339,satwik, Thoughts about the phone after 2 months of use ,Reviewed in India on 14 March 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,"I have been using this phone for almost 2 months now...its an amazingg phone i guarantee u will enjoy this phone..you’ll love the beautiful oled display the camera the processor,everythingg..battery life is amazing i am heavy user and still gets 9 hour of screen time..just go for it but pls use case and a screen protector cause the back is s fingerprint magnet and the display attracts a lot of scratches  ",https://images-na.ssl-images-amazon.com/images/I/71QZqfDmlqL._SY88.jpg,NA
340,Ashik K., The go to iphone for an everyday user ,Reviewed in India on 27 November 2020,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,"Excellent device, beautiful iOS, AMOLED display and design. The only drawback for me coming from Android devices with massive batteries is that this only has a single day battery while I am used to more.  ",NA,One person found this helpful
341,hari, Battery performance is not good ,Reviewed in India on 3 February 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,3.0 out of 5 stars,Battery performance is not good when both the sims are active. It’s not even lasting for a day in a nominal use.  ,NA,2 people found this helpful
342,Shareef , Awesome as always - Apple ,Reviewed in India on 11 February 2021,Colour: (PRODUCT)REDSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Stunning performance with committed features. ( sorry for no Fancy).  Amazon delivery was very good as always. Highly recommend this piece.  ,NA,One person found this helpful
343,Saood Khan, Awesome as always ,Reviewed in India on 5 April 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,"Just bought iPhone 12 and loved it. Cool features with excellent performance. If you're planning to buy one of 12 series, buy iPhone 12.  ",NA,NA
344,Faisal Hussain Khan, Its not a phone its iPhone!!! ,Reviewed in India on 14 December 2020,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,"Gorgeous display, excellent camera quality and its worlds fastest phone, looks beautiful and feels premium in hand. The only downside is price in India. Lightning speed delivery with Amazon.  ",https://images-na.ssl-images-amazon.com/images/I/71OVTWggLkL._SY88.jpg,One person found this helpful
345,Sudhanshu Kumar, Battery ,Reviewed in India on 31 March 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,1.0 out of 5 stars,Worst ever  that any other phones low camera and battery life low quality product  I am so sad for this  ,NA,2 people found this helpful
346,Rikita Thakkar, Complete phone ,Reviewed in India on 27 March 2021,Colour: WhiteSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,"Amazing display, great graphics and camera, nice stereo sound, super fast, user friendly, good battery life, nice security and obviously killer looks.  ",NA,NA
347,zubin Wadia, Iphone 12 is amazing ,Reviewed in India on 25 March 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Iphone 12 is an amazing phone according to me the picture quality is amazing and the features are really nice  ,NA,NA
348,C P Bhatt, BEST PHONE OF 2020 .. VALUE FOR MONEY ... ,Reviewed in India on 11 January 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,BEST PHONE OF 2020... UPGRADED FROM MY IPHONE 6 TO 12.. ITS A JUMP ...BEST CAMERA ... VIDEO QUALITY IS SUPERB  ,NA,One person found this helpful
349,Nikhil, Wooooww ,Reviewed in India on 18 January 2021,Colour: BlackSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Just A great phone don't buy it.(Just writing this because I need more words for submitting this review heeeeee aaa  ,NA,2 people found this helpful
350,Sukumar Chowdary, I can say superb ,Reviewed in India on 29 March 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,Great one fabulous never expected this one great product by Apple after a long long time good to see this product  ,NA,NA
351,Abhishek tiwari , BEST IPHONE EVER ,Reviewed in India on 25 November 2020,Colour: (PRODUCT)REDSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Awesome battery life and camera was too good specially portrait mode is awesome.A14 bionic chip is awesome 😍i love it🔥  ,https://images-na.ssl-images-amazon.com/images/I/71G1LwGl7iL._SY88.jpg,2 people found this helpful
352,Advait, Best phone out there ,Reviewed in India on 3 December 2020,Colour: WhiteSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,best phone of 2020 for sure.combine it with the apple 20 w adapter and it will give 0 to 100 in less than 50 mins  ,https://images-na.ssl-images-amazon.com/images/I/71k1byhMElL._SY88.jpg,2 people found this helpful
353,Anuj Trehan, BEAST !!!!💥 ,Reviewed in India on 16 January 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,5.0 out of 5 stars,"Your browser does not support HTML5 video.      Well it’s getting lots of hate and shame because of them removing the charger from the box when they know that 1 or 2 years later they will do the same, just like the headphone jack.  ",NA,NA
354,Angana, Beautiful stylish phone with very good battery life ,Reviewed in India on 31 January 2021,Colour: BlueSize name: 128GBPattern name: iPhone 12,5.0 out of 5 stars,Beautiful phone with amazing battery life and camera quality. Face id works perfectly. Blue colour is very vibrant and stylish.Go for it  ,https://images-na.ssl-images-amazon.com/images/I/B11Kle1qM5S._SY88.jpg,NA
355,Gokul Girish, Go for it ! ,Reviewed in India on 25 March 2021,Colour: BlueSize name: 64GBPattern name: iPhone 12,4.0 out of 5 stars,I wont say value for money because there are other phones which offer top notch flagship features. But if you need an Apple brand them go for it. As always you pay for the brand and not for phone  ,NA,NA
356,Mohmmed Azmathulla, Worst battery life ,Reviewed in India on 25 April 2021,Colour: WhiteSize name: 64GBPattern name: iPhone 12,1.0 out of 5 stars,Purchase date:19-04-2021Product:iPhone 64 GB BlueComplaint raised to iPhone on 21st 04 2021 on worst battery experience in response they said it’s common although I’m using iPhone from 6th series & currently using X with battery life of 80%  ,NA,NA
